scenario	consistency
['A1B', 'A2C', 'A3B', 'A4A', 'B1A', 'B2B', 'C1A', 'C2A', 'D1B', 'D2A', 'E1A', 'E2A']	98
['A1B', 'A2C', 'A3B', 'A4A', 'B1A', 'B2B', 'C1A', 'C2A', 'D1A', 'D2A', 'E1A', 'E2A']	95
['A1B', 'A2B', 'A3B', 'A4A', 'B1A', 'B2B', 'C1A', 'C2A', 'D1A', 'D2A', 'E1A', 'E2A']	94
['A1B', 'A2B', 'A3B', 'A4A', 'B1A', 'B2B', 'C1A', 'C2A', 'D1B', 'D2A', 'E1A', 'E2A']	94
['A1B', 'A2B', 'A3B', 'A4A', 'B1B', 'B2B', 'C1A', 'C2A', 'D1A', 'D2A', 'E1A', 'E2A']	81
['A1B', 'A2C', 'A3B', 'A4A', 'B1B', 'B2B', 'C1A', 'C2A', 'D1A', 'D2A', 'E1A', 'E2A']	81
['A1B', 'A2C', 'A3B', 'A4A', 'B1A', 'B2A', 'C1A', 'C2A', 'D1B', 'D2A', 'E1A', 'E2A']	79
['A1B', 'A2C', 'A3B', 'A4A', 'B1A', 'B2B', 'C1A', 'C2A', 'D1B', 'D2A', 'E1B', 'E2A']	79
['A1B', 'A2C', 'A3B', 'A4A', 'B1B', 'B2B', 'C1A', 'C2A', 'D1B', 'D2A', 'E1A', 'E2A']	79
['A1B', 'A2C', 'A3B', 'A4A', 'B1A', 'B2B', 'C1A', 'C2A', 'D1B', 'D2B', 'E1A', 'E2A']	78
['A1B', 'A2B', 'A3B', 'A4A', 'B1A', 'B2A', 'C1A', 'C2A', 'D1A', 'D2A', 'E1A', 'E2A']	76
['A1B', 'A2B', 'A3B', 'A4A', 'B1A', 'B2A', 'C1A', 'C2A', 'D1B', 'D2A', 'E1A', 'E2A']	76
['A1B', 'A2B', 'A3B', 'A4A', 'B1A', 'B2B', 'C1A', 'C2A', 'D1B', 'D2A', 'E1B', 'E2A']	76
['A1B', 'A2B', 'A3B', 'A4A', 'B1B', 'B2B', 'C1A', 'C2A', 'D1B', 'D2A', 'E1A', 'E2A']	76
['A1B', 'A2C', 'A3B', 'A4A', 'B1A', 'B2A', 'C1A', 'C2A', 'D1A', 'D2A', 'E1A', 'E2A']	76
['A1B', 'A2C', 'A3B', 'A4A', 'B1A', 'B2B', 'C1A', 'C2A', 'D1A', 'D2B', 'E1A', 'E2A']	75
['A1A', 'A2C', 'A3B', 'A4A', 'B1A', 'B2B', 'C1A', 'C2A', 'D1B', 'D2A', 'E1A', 'E2A']	73
['A1B', 'A2C', 'A3B', 'A4B', 'B1A', 'B2B', 'C1A', 'C2A', 'D1B', 'D2A', 'E1A', 'E2A']	73
['A1B', 'A2B', 'A3B', 'A4A', 'B1A', 'B2B', 'C1A', 'C2A', 'D1A', 'D2A', 'E1B', 'E2A']	72
['A1B', 'A2B', 'A3B', 'A4A', 'B1A', 'B2B', 'C1A', 'C2A', 'D1A', 'D2B', 'E1A', 'E2A']	72
['A1B', 'A2B', 'A3B', 'A4A', 'B1A', 'B2B', 'C1A', 'C2A', 'D1B', 'D2B', 'E1A', 'E2A']	72
['A1B', 'A2C', 'A3B', 'A4A', 'B1A', 'B2B', 'C1A', 'C2A', 'D1A', 'D2A', 'E1B', 'E2A']	72
['A1B', 'A2C', 'A3B', 'A4A', 'B1A', 'B2B', 'C1A', 'C2A', 'D1B', 'D2A', 'E1A', 'E2B']	71
