key factor;A1A;A1B;A2A;A2B;A2C;A3A;A3B;A4A;A4B;B1A;B1B;B2A;B2B;C1A;C1B;C2A;C2B;D1A;D1B;D2A;D2B;E1A;E1B;E2A;E2B
A1A;;;;;;;;;;;;;;;;;;;;;;;;;
A1B;;;;;;;;;;;;;;;;;;;;;;;;;
A2A;2;-1;;;;;;;;;;;;;;;;;;;;;;;
A2B;-1;2;;;;;;;;;;;;;;;;;;;;;;;
A2C;-1;2;;;;;;;;;;;;;;;;;;;;;;;
A3A;1;-2;1;-2;-2;;;;;;;;;;;;;;;;;;;;
A3B;0;2;-1;1;2;;;;;;;;;;;;;;;;;;;;
A4A;-1;1;-2;2;2;-2;2;;;;;;;;;;;;;;;;;;
A4B;1;-1;2;-2;-1;2;-2;;;;;;;;;;;;;;;;;;
B1A;-2;2;-1;2;2;-1;1;1;-1;;;;;;;;;;;;;;;;
B1B;1;0;1;0;-1;1;0;0;1;;;;;;;;;;;;;;;;
B2A;1;-1;2;-1;-1;0;0;-1;1;1;1;;;;;;;;;;;;;;
B2B;-2;2;-1;1;2;-1;2;1;0;1;1;;;;;;;;;;;;;;
C1A;-1;2;0;2;2;-1;2;2;0;2;1;0;2;;;;;;;;;;;;
C1B;2;-1;2;-2;-2;2;-2;-2;2;-1;0;1;-1;;;;;;;;;;;;
C2A;0;2;0;2;2;-1;2;2;0;2;1;0;2;2;-2;;;;;;;;;;
C2B;2;-1;2;-2;-2;2;-2;-2;2;0;0;1;-1;-2;2;;;;;;;;;;
D1A;0;0;1;1;-1;0;0;1;0;-2;1;0;0;0;1;0;1;;;;;;;;
D1B;0;0;0;0;1;0;0;1;0;1;-1;0;0;0;-1;0;-1;;;;;;;;
D2A;0;0;-1;1;1;0;1;2;-1;1;-1;0;2;2;-1;2;-1;1;1;;;;;;
D2B;1;0;1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;1;1;1;;;;;;
E1A;-1;2;-1;2;2;-1;2;2;-1;2;-1;0;0;2;-1;2;-1;1;-1;1;-1;;;;
E1B;0;0;1;0;-1;1;0;0;1;-1;1;0;0;-1;1;-1;1;-1;1;-1;1;;;;
E2A;-1;1;-1;1;2;0;2;2;0;2;-1;-1;2;2;-1;2;-1;0;0;1;-1;2;1;;
E2B;2;-1;2;-1;-2;1;0;0;2;-1;2;1;-1;-1;1;-1;1;0;0;-1;1;-1;1;;
